CodGeracaoDistribuida;NomTitularEmpreendimento;SigUF;NomMunicipio;CodMunicipioIbge;DscFonteGeracao;DscClasseConsumo;SigTipoConsumidor;DscPorte;MdaPotenciaInstaladaKW;DatConexao;NumCoordNEmpreendimento;NumCoordEEmpreendimento
;***;MG;Pará de Minas;3147105;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,87;-44,56
;***;MG;São José da Varginha;3163102;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,78;-44,58
;***;MG;Pará de Minas;3147105;Biogás - RU;Rural;PF;Microgeracao;55,00;;-19,80;-44,67
;***;MG;São José da Varginha;3163102;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,77;-44,58
;***;MG;Urucânia;3170503;Biogás - RU;Rural;PF;Microgeracao;75,00;;-20,37;-42,73
;***;MG;Abre Campo;3100302;Biogás - RU;Rural;PF;Microgeracao;75,00;;-20,28;-42,46
;***;MG;São José da Varginha;3163102;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,75;-44,54
;***;MG;Pará de Minas;3147105;Biogás - RA;Rural;PF;Minigeracao;150,00;;-19,80;-44,64
;***;MG;São José da Varginha;3163102;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,75;-44,53
;***;MG;Itaguara;3132206;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,38;-44,49
;***;MG;Urucânia;3170503;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,36;-42,70
;***;MG;Urucânia;3170503;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,36;-42,70
;***;MG;Pará de Minas;3147105;Biogás - RA;Rural;PF;Microgeracao;60,00;;-19,81;-44,66
;MARIO CLEBES SILVA;MG;Luz;3138807;Biogás - Floresta;Rural;PJ;Microgeracao;75,00;;-19,74;-45,80
;***;MG;Jequeri;3135506;Biogás - RA;Rural;PF;Minigeracao;128,00;;-20,41;-42,66
;***;MG;Bom Despacho;3107406;Biogás - RU;Rural;PF;Minigeracao;150,00;;-19,71;-45,30
;***;MG;Urucânia;3170503;Biogás - Floresta;Rural;PF;Microgeracao;75,00;;-20,37;-42,72
